gps_x,gps_y,gt_x,gt_y,lon,lat,method,kalman,matched,edge_id,lane_index,lane_pos,is_internal_edge,raw_x,raw_y,filt_x,filt_y,matched_x,matched_y,matched_lat,matched_lon,match_error_raw_m,match_error_filt_m,raw_dist,score,components,window_len,match_ms,phone_speed_mps,phone_course_deg,accuracy_m,unmatched_reason
473.7291117,1267.162459,476.93,1284.79,145.13198726173027,-37.90901455454441,topo,True,True,28533357#0,0,,False,473.72911169938743,1267.162459000945,473.72911169938743,1267.162459000945,479.12,1271.94,-37.908972490431125,145.13204964333025,7.2032336257636835,7.2032336257636835,7.2032336257636835,0.7064382623958502,prox=0.891 head=0.500 conn=0.500 turn=1.000,,13.369299995247275,0.0,,,
473.0268462,1272.159309,476.93,1284.79,145.1319804155997,-37.90896941496369,topo,True,True,28533357#0,0,,False,473.02684620110085,1272.1593089997768,473.1088271918384,1271.5759872867347,478.87730520270867,1272.9551176617474,-37.90896330220143,145.13204711522076,5.904335860701127,5.931048739740444,5.931048739740444,0.8199221885564708,prox=0.925 head=0.500 conn=1.000 turn=1.000,,5.6665000156499445,0.0,,,
471.7866339,1275.069598,476.93,1284.79,145.1319669777577,-37.90894297451234,topo,True,True,28533357#0,0,,False,471.78663390059955,1275.069597998634,472.1229889877768,1274.3396109020382,478.19899846373283,1275.7922660411175,-37.908937622053934,145.13204004942057,6.452958111606988,6.247247242186028,6.247247242186028,0.8167701803082453,prox=0.917 head=0.500 conn=1.000 turn=1.000,,5.239900026936084,0.0,,,
477.7709816,1282.304613,476.93,1284.79,145.1320366666742,-37.90887888002193,topo,True,True,28533357#0,0,,False,477.7709816005081,1282.3046129988506,475.869389302558,1280.4968010041953,478.08,1276.29,-37.908933116867765,145.13203880983528,6.022546130762977,4.752259919716485,1.7349534181923867,0.8473333168259535,prox=0.993 head=0.500 conn=1.000 turn=1.000,,5.65379997715354,0.0,,,
475.7362837,1288.214475,477.3118565,1288.028709,145.1320148791262,-37.9088252752965,topo,True,True,28533357#0,0,,False,475.7362836992834,1288.2144750002772,476.35573526635517,1286.9219861623449,478.08,1276.29,-37.908933116867765,145.13203880983528,12.152617418913533,10.770896834896558,7.453326814663142,0.8035466628728579,prox=0.884 head=0.500 conn=1.000 turn=1.000,,5.057199974544346,0.0,,,
478.0171809,1294.462773,478.0697274,1294.456577,145.1320422358616,-37.90876940086211,topo,True,True,28533357#0,0,,False,478.01718090078793,1294.4627729998901,477.7983447684395,1293.4458500690682,478.08,1276.29,-37.908933116867765,145.13203880983528,18.172881575159277,17.158161942988386,13.924416101138647,0.7099785933386854,prox=0.650 head=0.500 conn=1.000 turn=1.000,,5.158299987670034,0.0,,,
479.4925256,1302.843308,479.064506,1302.893773,145.1320609194223,-37.9086941733143,topo,True,True,-1272942443#2,0,,False,479.49252560094465,1302.843307999894,479.2895134894363,1301.1282613709361,478.8622842841884,1301.1786333733016,-37.90870905533814,145.13205337450196,1.7799847554872985,0.43018848478203375,0.43018848478203375,0.6198355341472627,prox=1.000 head=0.500 conn=0.100 turn=0.500,,5.382899951655418,0.0,,,
480.8408586,1312.132408,480.1834854,1312.212917,145.13207836584652,-37.908610738265224,topo,True,True,-1272942443#2,0,,False,480.84085859777406,1312.1324079986662,480.7354941254715,1309.9010646369459,479.09,1303.11,-37.9086916982311,145.13205640357884,9.190720968661624,6.9875753892276204,1.8718874094323492,0.8468974614533068,prox=0.992 head=0.500 conn=1.000 turn=1.000,,4.905199981294572,0.0,,,
482.7968747,1319.726018,481.1286354,1319.930327,145.1321023351348,-37.908542686277684,topo,True,True,-1272942443#1,0,,False,482.7968747005798,1319.726018000394,482.45858435007534,1318.419648631653,480.9660098050946,1318.6024440011977,-37.90855247722651,145.13208126278715,2.148135190622392,1.503726344602464,1.503726344602464,0.8279950921606049,prox=0.995 head=0.500 conn=0.900 turn=1.000,,5.219999991822988,0.0,,,
484.386391,1329.440501,482.3242743,1329.693048,145.1321226205554,-37.908455462799694,topo,True,True,-1272942443#1,0,,False,484.3863910001237,1329.4405010007322,484.1698876520641,1327.758872807643,482.1181696355916,1328.0101463901142,-37.908467938362946,145.13209650574132,2.681555979396303,2.0670474673712493,2.0670474673712493,0.8462200310992604,prox=0.991 head=0.500 conn=1.000 turn=1.000,,5.037199996877462,0.0,,,
485.8438453,1338.927075,483.4904622,1339.215293,145.13214135250252,-37.908370268537865,topo,True,True,-1272942443#1,0,,False,485.84384530066745,1338.9270750004798,485.789987827034,1337.4586403581966,483.3124849292742,1337.762059748047,-37.90838030636963,145.13211230636685,2.7865831888284283,2.496013608645869,2.496013608645869,0.8445003060754673,prox=0.986 head=0.500 conn=1.000 turn=1.000,,4.801800008863211,0.0,,,
488.5022528,1349.223895,484.7721613,1349.680719,145.1321739234061,-37.90827799214462,topo,True,True,-1272942443#1,0,,False,488.5022527994006,1349.2238949993625,487.9428253818889,1347.712714052657,484.5815552237924,1348.1243682797476,-37.90828718927913,145.13212909594483,4.071956346343494,3.386383953185395,3.386383953185395,0.8399353670288602,prox=0.975 head=0.500 conn=1.000 turn=1.000,,4.979300021659583,0.0,,,
492.4236756,1357.199581,485.78,1357.91,145.1322203254982,-37.90820685303073,topo,True,True,-1272942443#1,0,,False,492.4236756002065,1357.199581000954,491.0841078333111,1357.0798983940178,485.75821984772665,1357.732159057147,-37.90820085238173,145.13214466296986,6.686698720161165,5.365680460823104,5.365680460823105,0.8252098984747888,prox=0.938 head=0.500 conn=1.000 turn=1.000,,5.266799998935312,0.0,,,
495.9601828,1366.703132,486.0039295,1365.263893,145.1322626991894,-37.90812188104937,topo,True,True,1272942443#1,0,,False,495.96018280024873,1366.7031320007518,494.65661675071493,1366.536551628712,487.9871050099899,1365.565323190892,-37.90813069166081,145.1321717890414,8.053854874363795,6.739856937509842,6.739856937509842,0.791592761505299,prox=0.904 head=0.500 conn=0.900 turn=1.000,,5.229699949268252,0.0,,,
